,,,Museum,Order,Class,Family,Genus,Sp,Ssp,,Sex,Continent/Ocean,Country,State/Province,,,Locality,,,,Preservative,,,Life Stage,,,,,,,Year,Elevation,,,,,,,,,,,Day,Month,COLLECTOR,,
226963,1546,CRF,CAS,Reptilia,Sauria,Phrynosomatidae,Sceloporus,occidentalis,occidentalis,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1430 ft,,"1645 hrs.  In oaks, on boulder in grassy area.","California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W, 1430 ft",,2003,1430,,ft,40,14,11.4,N,121,52,30.7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226964,1547,CRF,CAS,Reptilia,Sauria,Phrynosomatidae,Sceloporus,occidentalis,occidentalis,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1430 ft,,"1645 hrs.  In oaks, on boulder in grassy area.","California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W, 1430 ft",,2003,1430,,ft,40,14,11.4,N,121,52,30.7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226965,1548,CRF,CAS,Reptilia,Sauria,Phrynosomatidae,Sceloporus,occidentalis,occidentalis,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1430 ft,,"1645 hrs.  In oaks, on boulder in grassy area.","California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W, 1430 ft",,2003,1430,,ft,40,14,11.4,N,121,52,30.7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226966,1549,CRF,CAS,Reptilia,Sauria,Phrynosomatidae,Sceloporus,occidentalis,occidentalis,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,J/A,,1430 ft,,"1645 hrs.  In oaks, on boulder in grassy area.","California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S32 (NW 1/4 of SE 1/4), 40 14 11.4 N, 121 52 30.7 W, 1430 ft",,2003,1430,,ft,40,14,11.4,N,121,52,30.7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226967,1550,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,granulosa,granulosa,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1500 ft,,1530 hrs.  In still pools of slow seeps and unnamed tributaries of Antelope Creek.,"California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W, 1500 ft",,2003,1500,,ft,40,14,29.8,N,121,52,7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226968,1551,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,granulosa,granulosa,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1500 ft,,1530 hrs.  In still pools of slow seeps and unnamed tributaries of Antelope Creek.,"California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W, 1500 ft",,2003,1500,,ft,40,14,29.8,N,121,52,7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226969,1552,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,granulosa,granulosa,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1500 ft,,1530 hrs.  In still pools of slow seeps and unnamed tributaries of Antelope Creek.,"California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W, 1500 ft",,2003,1500,,ft,40,14,29.8,N,121,52,7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226970,1553,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,granulosa,granulosa,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1500 ft,,1530 hrs.  In still pools of slow seeps and unnamed tributaries of Antelope Creek.,"California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W, 1500 ft",,2003,1500,,ft,40,14,29.8,N,121,52,7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226971,1554,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,granulosa,granulosa,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Antelope Creek, between confluence of Indian Creek and North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W",D.G. Mulcahy and C.R. Feldman,28-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1500 ft,,1530 hrs.  In still pools of slow seeps and unnamed tributaries of Antelope Creek.,"California: Tehama Co.: Lassen National Forest, Antelope Creek, from confluence of Antelope Creek and Indian Creek to confluence of North Fork and South Fork of Antelope Creek, T28N R1E S33 (NW 1/4 of NW 1/4), 40 14 29.8 N, 121 52 07.0 W, 1500 ft",,2003,1500,,ft,40,14,29.8,N,121,52,7,W,28,May,C.R. Feldman,Garmin III plus GPS,NAD27
226972,1567,CRF,CAS,Reptilia,Sauria,Anguidae,Elgaria,multicarinata,multicarinata,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.8 N, 121 52 38.0 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,J/A,,1400 ft,,"1030 hrs.  In creek, in pool in the sun, hoding on to aquatic vegetation.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.8 N, 121 52 38.0 W, 1400 ft",,2003,1400,,ft,40,13,58.8,N,121,52,38,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226973,1568,CRF,CAS,Reptilia,Testudines,Emydidae,Clemmys,marmorata,,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.8 N, 121 52 38.0 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Juv,,1400 ft,,"1030 hrs.  Adjacent to large log, along Indian Creek.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.8 N, 121 52 38.0 W, 1400 ft",,2003,1400,,ft,40,13,58.8,N,121,52,38,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226974,1569,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1400 ft,,"1115 hrs.  In clear, still, shaded pools.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W, 1400 ft",,2003,1400,,ft,40,13,59.1,N,121,52,35.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226975,1570,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1400 ft,,"1115 hrs.  In clear, still, shaded pools.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W, 1400 ft",,2003,1400,,ft,40,13,59.1,N,121,52,35.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226976,1571,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1400 ft,,"1115 hrs.  In clear, still, shaded pools.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W, 1400 ft",,2003,1400,,ft,40,13,59.1,N,121,52,35.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226977,1572,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1400 ft,,"1115 hrs.  In clear, still, shaded pools.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W, 1400 ft",,2003,1400,,ft,40,13,59.1,N,121,52,35.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226978,1573,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1400 ft,,"1115 hrs.  In clear, still, shaded pools.","California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 59.1 N, 121 52 35.5 W, 1400 ft",,2003,1400,,ft,40,13,59.1,N,121,52,35.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226979,1574,CRF,CAS,Reptilia,Serpentes,Colubridae,Thamnophis,couchii,,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,J/A,,1430 ft,"SVL 435 mm, total 559 mm, 37 gm.",1130 hrs.,"California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W, 1430 ft",,2003,1430,,ft,40,13,58.2,N,121,52,32.8,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226980,1575,CRF,CAS,Reptilia,Serpentes,Colubridae,Thamnophis,couchii,,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Juv,,1430 ft,"SVL 337 mm, total 428 mm, 13 gm.",1130 hrs.,"California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W, 1430 ft",,2003,1430,,ft,40,13,58.2,N,121,52,32.8,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226981,1576,CRF,CAS,Reptilia,Serpentes,Colubridae,Thamnophis,couchii,,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Juv,,1430 ft,"SVL 237 mm, total 310 mm, 3.6 gm.",1130 hrs.,"California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W, 1430 ft",,2003,1430,,ft,40,13,58.2,N,121,52,32.8,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226982,1577,CRF,CAS,Reptilia,Serpentes,Colubridae,Thamnophis,couchii,,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Juv,,1430 ft,"SVL 256 mm, total 333 mm, 5.6 gm.",1130 hrs.,"California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W, 1430 ft",,2003,1430,,ft,40,13,58.2,N,121,52,32.8,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226983,1579,CRF,CAS,Amphibia,Anura,Ranidae,Rana,boylii,,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,1430 ft,Most of left foot missing.,1200 hrs.  On boulder in creek.,"California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S32 (SE 1/4 of SE 1/4), 40 13 58.2 N, 121 52 32.8 W, 1430 ft",,2003,1430,,ft,40,13,58.2,N,121,52,32.8,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226984,1580,CRF,CAS,Amphibia,Anura,Ranidae,Rana,boylii,,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Indian Creek, from confluence of Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S33 (SW 1/4 of SW 1/4), 40 13 51.0 N, 121 52 12.7 W",D.G. Mulcahy and C.R. Feldman,29-May-03,Form,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Larva,,1500 ft,,1315 hrs.  In wide run with bedrock and algae.,"California: Tehama Co.: Lassen National Forest, Indian Creek, from confluence with Antelope Creek to ca 0.4 mi SE of confluence, T28N R1E S33 (SW 1/4 of SW 1/4), 40 13 51.0 N, 121 52 12.7 W, 1500 ft",,2003,1500,,ft,40,13,51,N,121,52,12.7,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226985,1588,CRF,CAS,Amphibia,Anura,Ranidae,Rana,boylii,,,,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Form,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Larva,,2200 ft,,"1700 hrs.  In slow, fully exposed pool at road cut.","California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E, 2200 ft",,2003,2200,,ft,40,5,11.1,N,121,41,48.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226986,1589,CRF,CAS,Amphibia,Anura,Ranidae,Rana,boylii,,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1700 hrs.  On bedrock bank.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E, 2200 ft",,2003,2200,,ft,40,5,11.1,N,121,41,48.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226987,1590,CRF,CAS,Amphibia,Anura,Hylidae,Hyla,regilla,,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1700 hrs.  In slow run near roadcut.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E, 2200 ft",,2003,2200,,ft,40,5,11.1,N,121,41,48.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226988,1591,CRF,CAS,Reptilia,Sauria,Phrynosomatidae,Sceloporus,occidentalis,occidentalis,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SW 1/4 of SE 1/4), 40 05 12.0 N, 121 41 55.2 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,"1745 hrs.  On small rocks, 1 m from creek.","California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SW 1/4 of SE 1/4), 40 05 12.0 N, 121 41 55.2 E, 2200 ft",,2003,2200,,ft,40,5,12,N,121,41,55.2,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226989,1592,CRF,CAS,Reptilia,Sauria,Phrynosomatidae,Sceloporus,occidentalis,occidentalis,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SW 1/4 of SE 1/4), 40 05 12.0 N, 121 41 55.2 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,"1745 hrs.  On small rocks, 1 m from creek.","California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SW 1/4 of SE 1/4), 40 05 12.0 N, 121 41 55.2 E, 2200 ft",,2003,2200,,ft,40,5,12,N,121,41,55.2,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226990,1593,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,M,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1915 hrs.  In slower pools of moderate depth.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E, 2200 ft",,2003,2200,,ft,40,5,11.1,N,121,41,48.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226991,1594,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1915 hrs.  In slower pools of moderate depth.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E, 2200 ft",,2003,2200,,ft,40,5,11.1,N,121,41,48.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226992,1595,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1915 hrs.  In slower pools of moderate depth.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 11.1 N, 121 41 48.5 E, 2200 ft",,2003,2200,,ft,40,5,11.1,N,121,41,48.5,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226993,1596,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 10.2 N, 121 41 46.4 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1945 hrs.  In slower pools of moderate depth.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 10.2 N, 121 41 46.4 E, 2200 ft",,2003,2200,,ft,40,5,10.2,N,121,41,46.4,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
226994,1597,CRF,CAS,Amphibia,Caudata,Salamandridae,Taricha,torosa,sierrae,,F,North America,USA,California,,,Tehama Co.,"Lassen National Forest, Beaver Creek at Forest Rd 28N29, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 10.2 N, 121 41 46.4 E",D.G. Mulcahy and C.R. Feldman,29-May-03,Alc,D.G. Mulcahy and C.R. Feldman,13-Jun-03,Adult,,2200 ft,,1945 hrs.  In slower pools of moderate depth.,"California: Tehama Co.: crossing of Beaver Creek and FSR 28N29, Ishi Wilderness (State Game Refuge) Lassen National Forest, T26N R2E S24 (SE 1/4 of SE 1/4), 40 05 10.2 N, 121 41 46.4 E, 2200 ft",,2003,2200,,ft,40,5,10.2,N,121,41,46.4,W,29,May,C.R. Feldman,Garmin III plus GPS,NAD27
